"probeID" "Entrez"
"4830601" "4830601" "LOC649661"
"4640082" "4640082" "RNU2-1"
"4390202" "4390202" "CXCR3"
"2940121" "2940121" NA
"160537" "160537" "FVT1"
"1740242" "1740242" "FVT1"
"10750" "10750" NA
"2600707" "2600707" NA
"770465" "770465" NA
"4280040" "4280040" NA
"110376" "110376" "LOC653468"
"4230746" "4230746" "TRPC2"
"4610008" "4610008" "TRPC2"
"4490037" "4490037" "SLC34A2"
"5700603" "5700603" "PCNXL2"
"130717" "130717" "ARPC1B"
"4120468" "4120468" NA
"6960102" "6960102" NA
"270471" "270471" NA
"160300" "160300" "LOC652286"
"7550392" "7550392" "GLUL"
"130392" "130392" "GLUL"
"3390603" "3390603" "MDH1"
"6650731" "6650731" "RBP1"
"3460315" "3460315" NA
"2100168" "2100168" NA
"7510707" "7510707" "E2F6"
"5090291" "5090291" "ATG4C"
"2970528" "2970528" "ATG4C"
"2230246" "2230246" NA
"2360603" "2360603" "PRSSL1"
"1190082" "1190082" "C6orf48"
"7150017" "7150017" "C6orf48"
"6650592" "6650592" "UEVLD"
"630053" "630053" "CBFA2T3"
"6280274" "6280274" NA
"5310026" "5310026" NA
"5890309" "5890309" "LOC391209"
"6840441" "6840441" "IFNE1"
"6380541" "6380541" "IFNE1"
"3420615" "3420615" "DLEU2L"
"3420433" "3420433" "SHMT1"
"2690528" "2690528" "SHMT1"
"3060379" "3060379" "SEC14L1"
"4560066" "4560066" "KIAA0895L"
"2190129" "2190129" "ST6GAL2"
"6200639" "6200639" "LOC651495"
"5360050" "5360050" "LOC652115"
"4060379" "4060379" NA
"5550255" "5550255" NA
"3520288" "3520288" "RCE1"
"6290187" "6290187" "RCE1"
"4150730" "4150730" "LOC650853"
"2600270" "2600270" NA
"4010369" "4010369" "C14orf48"
"2690576" "2690576" NA
"5870156" "5870156" NA
"4050669" "4050669" NA
"6860592" "6860592" "LOC441511"
"110427" "110427" "TCEA1"
"7160239" "7160239" "FOSB"
"670437" "670437" NA
"5090129" "5090129" "LOC390387"
"1410398" "1410398" "CCNYL1"
"2060112" "2060112" "CCNYL1"
"7160326" "7160326" "LOC643430"
"6760468" "6760468" NA
"6420170" "6420170" "ZNF678"
"1450731" "1450731" "KIAA1217"
"2000707" "2000707" NA
"150379" "150379" NA
"5360161" "5360161" NA
"2140743" "2140743" "DEPDC4"
"6760519" "6760519" "LOC650268"
"3460553" "3460553" "LOC440055"
"6180601" "6180601" "LOC645293"
"6200615" "6200615" "SAPS2"
"7200402" "7200402" "AP3S1"
"1440445" "1440445" "ASB5"
"5270554" "5270554" "ASB5"
"7050324" "7050324" "LOC653366"
"6760382" "6760382" "LOC641841"
"1260543" "1260543" "ARHGAP21"
"4250768" "4250768" "COIL"
"3390661" "3390661" "FLYWCH1"
"7380324" "7380324" "LOC653468"
"3930132" "3930132" "TUBA3D"
"1240703" "1240703" "TUBA3D"
"4480368" "4480368" "TMEM60"
"1850608" "1850608" NA
"7560114" "7560114" "KLHDC8B"
"160612" "160612" "MGLL"
"3830327" "3830327" "MGLL"
"2470167" "2470167" "LOC441119"
"2940092" "2940092" NA
"540564" "540564" "RASSF4"
"10639" "10639" "RASSF4"
"7210736" "7210736" "GAD2"
"4260288" "4260288" NA
"4880440" "4880440" "LOC643431"
"6980338" "6980338" "LOC650549"
"6860138" "6860138" "STMN4"
"6200113" "6200113" "LOC653066"
"4180711" "4180711" "RLN2"
"6280392" "6280392" "L3MBTL4"
"2190349" "2190349" "KCNJ15"
"110072" "110072" "SGSM1"
"840364" "840364" "SGSM1"
"3460544" "3460544" NA
"870176" "870176" "TFG"
"2970703" "2970703" "RNF125"
"3130095" "3130095" "CCNB1IP1"
"510114" "510114" "CCNB1IP1"
"110079" "110079" "OSR2"
"5420452" "5420452" "OSR2"
"1030113" "1030113" NA
"2360121" "2360121" "MTL5"
"6770093" "6770093" NA
"7100392" "7100392" "P704P"
"4060273" "4060273" "RAB19"
"4120243" "4120243" "PSG9"
"4250022" "4250022" NA
"520630" "520630" "CLN3"
"2120164" "2120164" "LOC652624"
"6620390" "6620390" NA
"6450288" "6450288" "SLC8A1"
"2350201" "2350201" "ANKS1B"
"6110379" "6110379" "WFDC13"
"20674" "20674" "LOC642072"
"450431" "450431" "WWP2"
"5560209" "5560209" "DDX6"
"870279" "870279" NA
"840224" "840224" NA
"4890482" "4890482" "LOC727851"
"5390243" "5390243" "LOC651401"
"2470681" "2470681" "MGC16703"
"7320370" "7320370" "STAT4"
"4150176" "4150176" "LOC644544"
"6060673" "6060673" NA
"2900743" "2900743" NA
"6250204" "6250204" "C10orf91"
"2640102" "2640102" NA
"1710180" "1710180" NA
"730168" "730168" NA
"1500309" "1500309" NA
"6980167" "6980167" "C21orf121"
"130241" "130241" "SMARCB1"
"150021" "150021" "SMARCB1"
"6280136" "6280136" "LOC390712"
"6510377" "6510377" "TNFRSF12A"
"1050347" "1050347" "TUBB1"
