"Ensembl" "Entrez"
"7396" "ENSG00000231050" "RP1-140A9.1"
"7400" "ENSG00000169885" "CALML6"
"7441" "ENSG00000178821" "TMEM52"
"7502" "ENSG00000142609" "CFAP74"
"7676" "ENSG00000233542" "RP11-547D24.1"
"7680" "ENSG00000187730" "GABRD"
"7704" "ENSG00000226969" "RP11-547D24.3"
"7712" "ENSG00000067606" "PRKCZ"
"8117" "ENSG00000271806" "RP5-892K4.1"
"8120" "ENSG00000182873" "RP11-181G12.2"
"8128" "ENSG00000162585" "FAAP20"
"8274" "ENSG00000234396" "RP11-181G12.4"
"8278" "ENSG00000157933" "SKI"
"8308" "ENSG00000116151" "MORN1"
"8442" "ENSG00000272161" "RP4-713A8.1"
"8445" "ENSG00000269896" "RP4-740C4.5"
"8450" "ENSG00000272420" "RP4-740C4.7"
"8453" "ENSG00000157916" "RER1"
"8581" "ENSG00000157911" "PEX10"
"8682" "ENSG00000149527" "PLCH2"
"8914" "ENSG00000224387" "RP3-395M20.2"
"8918" "ENSG00000229393" "RP3-395M20.3"
"8922" "ENSG00000157881" "PANK4"
"9118" "ENSG00000197921" "HES5"
"9130" "ENSG00000272449" "RP3-395M20.12"
"9133" "ENSG00000238164" "RP3-395M20.8"
"9159" "ENSG00000157873" "TNFRSF14"
"9325" "ENSG00000225931" "RP3-395M20.7"
"9330" "ENSG00000228037" "RP3-395M20.9"
"9335" "ENSG00000157870" "FAM213B"
"9512" "ENSG00000142606" "MMEL1"
"9688" "ENSG00000237058" "RP13-436F16.1"
"9692" "ENSG00000215912" "TTC34"
"9734" "ENSG00000283259" "ABC14-1188822O7.1"
"9746" "ENSG00000233234" "RP11-740P5.2"
"9750" "ENSG00000231630" "RP11-740P5.3"
"9754" "ENSG00000169717" "ACTRT2"
"9762" "ENSG00000177133" "LINC00982"
"9798" "ENSG00000142611" "PRDM16"
"10018" "ENSG00000283572" "MIR4251"
"10021" "ENSG00000226286" "RP1-163G9.2"
"10025" "ENSG00000279839" "RP11-193J6.1"
"10028" "ENSG00000272235" "RP11-22L13.1"
"10031" "ENSG00000130762" "ARHGEF16"
"10164" "ENSG00000272088" "RP11-168F9.2"
"10167" "ENSG00000162591" "MEGF6"
"10420" "ENSG00000207776" "MIR551A"
"10423" "ENSG00000238260" "RP11-46F15.2"
"10428" "ENSG00000158109" "TPRG1L"
"10457" "ENSG00000116213" "WRAP73"
"10588" "ENSG00000078900" "TP73"
"10919" "ENSG00000227589" "RP5-1092A11.5"
"10924" "ENSG00000235131" "RP5-1092A11.2"
"10928" "ENSG00000227372" "TP73-AS1"
"10985" "ENSG00000276189" "TP73-AS1"
"10988" "ENSG00000162592" "CCDC27"
"11054" "ENSG00000235169" "SMIM1"
"11084" "ENSG00000130764" "LRRC47"
"11122" "ENSG00000266075" "RN7SL574P"
"11125" "ENSG00000272153" "RP1-286D6.5"
"11128" "ENSG00000116198" "CEP104"
"11284" "ENSG00000169598" "DFFB"
"11476" "ENSG00000198912" "C1orf174"
"11500" "ENSG00000236423" "LINC01134"
"11513" "ENSG00000233304" "LINC01346"
"11526" "ENSG00000226374" "RP13-614K11.2"
"11543" "ENSG00000229280" "EEF1DP6"
"11546" "ENSG00000235054" "RP5-1166F10.1"
"11577" "ENSG00000227169" "RP1-37J18.1"
"11581" "ENSG00000232596" "RP1-37J18.2"
"11596" "ENSG00000196581" "AJAP1"
"11634" "ENSG00000231510" "RP11-542C10.1"
"11640" "ENSG00000260972" "RP1-58B11.1"
"11643" "ENSG00000283356" "RP3-491M17.1"
"11646" "ENSG00000236948" "RP11-154H17.1"
"11654" "ENSG00000264341" "MIR4417"
"11657" "ENSG00000264101" "MIR4689"
"11660" "ENSG00000131697" "NPHP4"
"11960" "ENSG00000069424" "KCNAB2"
"12388" "ENSG00000116254" "CHD5"
"12684" "ENSG00000116251" "RPL22"
"12774" "ENSG00000226944" "RP1-120G22.11"
"12779" "ENSG00000158286" "RNF207"
"12864" "ENSG00000116237" "ICMT"
"12913" "ENSG00000225077" "LINC00337"
"12923" "ENSG00000173673" "HES3"
"12937" "ENSG00000158292" "GPR153"
"12955" "ENSG00000097021" "ACOT7"
"13167" "ENSG00000271746" "RP1-202O8.3"
"13170" "ENSG00000069812" "HES2"
"13233" "ENSG00000187017" "ESPN"
"13446" "ENSG00000265392" "MIR4252"
"13449" "ENSG00000231868" "RP1-202O8.2"
"13454" "ENSG00000215788" "TNFRSF25"
"13745" "ENSG00000171680" "PLEKHG5"
"14256" "ENSG00000162408" "NOL9"
"14301" "ENSG00000253022" "RNU6-731P"
"14304" "ENSG00000229519" "RP11-58A11.2"
"14308" "ENSG00000173662" "TAS1R1"
"14359" "ENSG00000204859" "ZBTB48"
"14452" "ENSG00000162413" "KLHL21"
"14522" "ENSG00000116273" "PHF13"
"14539" "ENSG00000041988" "THAP3"
"14624" "ENSG00000007923" "DNAJC11"
"14780" "ENSG00000228750" "RP11-242F24.1"
"14798" "ENSG00000237436" "RP11-312B8.1"
"14803" "ENSG00000171735" "CAMTA1"
"15007" "ENSG00000227950" "RP11-312B8.2"
"15010" "ENSG00000237365" "RP11-334N17.1"
"15014" "ENSG00000207056" "RNU1-8P"
"15017" "ENSG00000237402" "CAMTA1-IT1"
"15021" "ENSG00000237728" "RP3-453P22.2"
"15029" "ENSG00000225126" "RP4-549F15.1"
"15033" "ENSG00000270171" "RP11-338N10.1"
"15036" "ENSG00000270035" "RP11-338N10.2"
"15039" "ENSG00000269978" "RP11-338N10.3"
"15042" "ENSG00000049245" "VAMP3"
"15077" "ENSG00000269925" "RP3-467L1.6"
"15080" "ENSG00000049246" "PER3"
"15314" "ENSG00000236266" "RP3-467L1.4"
"15319" "ENSG00000049247" "UTS2"
"15365" "ENSG00000049249" "TNFRSF9"
"15432" "ENSG00000270330" "RP5-892F13.2"
"15435" "ENSG00000116288" "PARK7"
"15578" "ENSG00000200344" "Y_RNA"
"15581" "ENSG00000116285" "ERRFI1"
"15639" "ENSG00000238290" "RP11-431K24.1"
"15644" "ENSG00000232848" "CTA-215D11.4"
"15648" "ENSG00000229305" "RP11-431K24.2"
"15654" "ENSG00000227634" "RP11-431K24.3"
"15665" "ENSG00000200975" "RNU1-7P"
"15668" "ENSG00000233645" "RP11-431K24.4"
"15672" "ENSG00000251977" "RNU6-991P"
"15675" "ENSG00000162426" "SLC45A1"
"15729" "ENSG00000252254" "Y_RNA"
"15732" "ENSG00000142599" "RERE"
"16039" "ENSG00000232912" "RP5-1115A15.1"
"16049" "ENSG00000221083" "SNORA77"
"16052" "ENSG00000270282" "RP5-1115A15.2"
"16055" "ENSG00000234619" "RPL7P11"
"16058" "ENSG00000224315" "RPL7P7"
"16061" "ENSG00000222511" "Y_RNA"
"16064" "ENSG00000226545" "RP4-633I8.3"
"16068" "ENSG00000228423" "RP4-633I8.4"
"16072" "ENSG00000229716" "RPL23AP19"
"16075" "ENSG00000074800" "ENO1"
"16148" "ENSG00000274258" "MIR6728"
"16151" "ENSG00000236269" "ENO1-IT1"
"16155" "ENSG00000230679" "ENO1-AS1"
"16159" "ENSG00000201725" "RNU6-304P"
"16162" "ENSG00000238249" "HMGN2P17"
"16165" "ENSG00000232208" "RP3-477M7.5"
"16168" "ENSG00000232663" "RP3-477M7.6"
"16171" "ENSG00000131686" "CA6"
"16262" "ENSG00000265141" "RN7SL451P"
"16265" "ENSG00000197241" "SLC2A7"
