"Ensembl" "Entrez"
"277710" "ENSG00000234572" "AC007880.1"
"277717" "ENSG00000237638" "AC007386.2"
"277721" "ENSG00000244534" "RN7SL211P"
"277724" "ENSG00000227394" "AC007386.3"
"277727" "ENSG00000115902" "SLC1A4"
"277789" "ENSG00000252892" "RNU6-548P"
"277792" "ENSG00000232613" "AC007386.4"
"277801" "ENSG00000011523" "CEP68"
"277859" "ENSG00000138069" "RAB1A"
"277922" "ENSG00000272025" "SNORA74"
"277925" "ENSG00000273763" "RP11-420C9.1"
"277928" "ENSG00000172974" "AC007318.5"
"277931" "ENSG00000138071" "ACTR2"
"278028" "ENSG00000198369" "SPRED2"
"278121" "ENSG00000232693" "AC012370.2"
"278127" "ENSG00000204929" "AC074391.1"
"278170" "ENSG00000234255" "AC012370.3"
"278212" "ENSG00000237979" "AC007389.1"
"278216" "ENSG00000223739" "AC007389.2"
"278219" "ENSG00000243029" "RN7SL635P"
"278222" "ENSG00000251900" "VTRNA2-2P"
"278225" "ENSG00000235725" "AC007389.3"
"278231" "ENSG00000281920" "RP11-418H16.1"
"278236" "ENSG00000214533" "KRT18P33"
"278239" "ENSG00000280257" "RP11-340F16.2"
"278242" "ENSG00000227293" "AC118345.1"
"278246" "ENSG00000225815" "AC092669.6"
"278254" "ENSG00000264525" "MIR4778"
"278257" "ENSG00000232164" "AC092669.3"
"278262" "ENSG00000226819" "MEIS1-AS3"
"278268" "ENSG00000143995" "MEIS1"
"278483" "ENSG00000230749" "MEIS1-AS2"
"278490" "ENSG00000232046" "AC007392.3"
"278518" "ENSG00000237179" "AC007392.4"
"278530" "ENSG00000224071" "AC009474.1"
"278534" "ENSG00000230355" "AC009474.2"
"278537" "ENSG00000230525" "AC007403.2"
"278548" "ENSG00000232688" "LINC01628"
"278553" "ENSG00000223859" "AC007403.3"
"278557" "ENSG00000235885" "AC023115.2"
"278628" "ENSG00000236780" "AC078941.1"
"278648" "ENSG00000236605" "AC023115.4"
"278652" "ENSG00000143971" "ETAA1"
"278673" "ENSG00000224173" "AC007422.1"
"278681" "ENSG00000235495" "AC010987.5"
"278685" "ENSG00000237013" "AC010987.6"
"278690" "ENSG00000235968" "AC079112.1"
"278694" "ENSG00000197223" "C1D"
"278771" "ENSG00000243667" "WDR92"
"278856" "ENSG00000236259" "AC017083.2"
"278859" "ENSG00000273398" "RP11-474G23.1"
"278895" "ENSG00000115946" "PNO1"
"278933" "ENSG00000221823" "PPP3R1"
"278985" "ENSG00000273275" "RP11-474G23.2"
"278988" "ENSG00000273064" "RP11-474G23.3"
"278991" "ENSG00000119865" "CNRIP1"
"279029" "ENSG00000203395" "AC015969.3"
"279033" "ENSG00000115956" "PLEK"
"279062" "ENSG00000229462" "AC127383.1"
"279067" "ENSG00000204923" "FBXO48"
"279081" "ENSG00000169621" "APLF"
"279186" "ENSG00000214525" "AC130709.1"
"279189" "ENSG00000169618" "PROKR1"
"279201" "ENSG00000163219" "ARHGAP25"
"279449" "ENSG00000237576" "AC097495.2"
"279456" "ENSG00000228329" "AC097495.3"
"279460" "ENSG00000163217" "BMP10"
"279470" "ENSG00000283586" "GKN3P"
"279486" "ENSG00000183607" "GKN2"
"279519" "ENSG00000169605" "GKN1"
"279541" "ENSG00000169604" "ANTXR1"
"279683" "ENSG00000266649" "MIR3126"
"279686" "ENSG00000251850" "RNA5SP96"
"279689" "ENSG00000199460" "RNU6-1216P"
"279692" "ENSG00000271597" "RP11-85D18.1"
"279695" "ENSG00000198380" "GFPT1"
"279798" "ENSG00000252250" "Y_RNA"
"279801" "ENSG00000169599" "NFU1"
"279962" "ENSG00000115977" "AAK1"
"280150" "ENSG00000244236" "RN7SL604P"
"280153" "ENSG00000207016" "SNORA36C"
"280156" "ENSG00000232228" "RP11-77O7.1"
"280159" "ENSG00000229948" "B3GALNT1P1"
"280164" "ENSG00000196975" "ANXA4"
"280319" "ENSG00000231024" "AC092431.3"
"280323" "ENSG00000087338" "GMCL1"
"280372" "ENSG00000275381" "RP11-401N16.2"
"280375" "ENSG00000270723" "RPL23AP92"
"280378" "ENSG00000124380" "SNRNP27"
"280443" "ENSG00000059728" "MXD1"
"280516" "ENSG00000279229" "AC019206.1"
"280522" "ENSG00000244617" "ASPRV1"
"280530" "ENSG00000179818" "PCBP1-AS1"
"281625" "ENSG00000263669" "RN7SL470P"
"281628" "ENSG00000169564" "PCBP1"
"281636" "ENSG00000233060" "AC016700.2"
"281641" "ENSG00000225392" "AC016700.4"
"281644" "ENSG00000231327" "AC016700.5"
"281648" "ENSG00000115998" "C2orf42"
"281776" "ENSG00000116001" "TIA1"
"282046" "ENSG00000221238" "MIR1285-2"
"282049" "ENSG00000231414" "AC016700.6"
"282052" "ENSG00000116005" "PCYOX1"
"282126" "ENSG00000143977" "SNRPG"
"282220" "ENSG00000035141" "FAM136A"
"282272" "ENSG00000233849" "AC022201.5"
"282276" "ENSG00000235289" "BRD7P6"
"282280" "ENSG00000229229" "AC022201.4"
"282286" "ENSG00000163235" "TGFA"
"282405" "ENSG00000224606" "TGFA-IT1"
"282409" "ENSG00000075340" "ADD2"
"282721" "ENSG00000235035" "AC007395.3"
"282725" "ENSG00000183733" "FIGLA"
"282741" "ENSG00000228034" "HMGN2P21"
"282744" "ENSG00000152672" "CLEC4F"
"282783" "ENSG00000231386" "AC007395.4"
"282786" "ENSG00000116031" "CD207"
"282804" "ENSG00000237751" "LINC01143"
"282810" "ENSG00000277764" "Vax2os1_3"
"282813" "ENSG00000116035" "VAX2"
"282825" "ENSG00000116039" "ATP6V1B1"
"282975" "ENSG00000258881" "AC007040.11"
"283004" "ENSG00000239322" "ATP6V1B1-AS1"
"283012" "ENSG00000226186" "TCEB1P21"
"283015" "ENSG00000241159" "RN7SL160P"
"283018" "ENSG00000144031" "ANKRD53"
"283099" "ENSG00000144043" "TEX261"
"283151" "ENSG00000228384" "AC007040.6"
"283155" "ENSG00000236469" "AC007040.8"
"283161" "ENSG00000205847" "OR7E91P"
"283164" "ENSG00000234485" "OR7E46P"
"283167" "ENSG00000234896" "OR7E62P"
"283170" "ENSG00000124357" "NAGK"
"283503" "ENSG00000272735" "RP11-467P9.1"
"283506" "ENSG00000124370" "MCEE"
"283547" "ENSG00000124383" "MPHOSPH10"
"283600" "ENSG00000233870" "AC007881.4"
"283603" "ENSG00000124374" "PAIP2B"
"283617" "ENSG00000075292" "ZNF638"
"283984" "ENSG00000281195" "ZNF638-IT1"
"283988" "ENSG00000200779" "RNU6-105P"
"283991" "ENSG00000135636" "DYSF"
"285337" "ENSG00000233971" "RPS20P10"
"285340" "ENSG00000003137" "CYP26B1"
"285404" "ENSG00000144036" "EXOC6B"
"285602" "ENSG00000228568" "AC006461.2"
"285605" "ENSG00000222536" "RNU2-39P"
"285608" "ENSG00000212378" "SNORD78"
"285611" "ENSG00000116096" "SPR"
"285627" "ENSG00000135638" "EMX1"
"285668" "ENSG00000278060" "RP11-466M21.1"
"285672" "ENSG00000144040" "SFXN5"
"285933" "ENSG00000135631" "RAB11FIP5"
"285981" "ENSG00000272702" "RP11-44N22.3"
"285987" "ENSG00000214513" "NOTO"
"285999" "ENSG00000135632" "SMYD5"
"286107" "ENSG00000135617" "PRADC1"
"286131" "ENSG00000135624" "CCT7"
"286331" "ENSG00000163013" "FBXO41"
"286431" "ENSG00000135625" "EGR4"
"286450" "ENSG00000252988" "RNU6-111P"
"286453" "ENSG00000214484" "RPSAP28"
"286456" "ENSG00000116127" "ALMS1"
"286645" "ENSG00000230002" "ALMS1-IT1"
"286649" "ENSG00000144035" "NAT8"
"286659" "ENSG00000163016" "ALMS1P1"
"286675" "ENSG00000204872" "NAT8B"
"286682" "ENSG00000144034" "TPRKB"
"286767" "ENSG00000273245" "RP11-434P11.2"
"286770" "ENSG00000280037" "RP11-434P11.1"
"286773" "ENSG00000144048" "DUSP11"
"286844" "ENSG00000187833" "C2orf78"
"286856" "ENSG00000124356" "STAMBP"
"287043" "ENSG00000271536" "RP11-51I5.1"
"287047" "ENSG00000163017" "ACTG2"
"287188" "ENSG00000114956" "DGUOK"
"287273" "ENSG00000237883" "DGUOK-AS1"
"287283" "ENSG00000201876" "RNA5SP97"
"287286" "ENSG00000235499" "AC073046.25"
"287290" "ENSG00000187605" "TET3"
"287349" "ENSG00000279181" "RP11-711M9.2"
"287352" "ENSG00000257800" "FNBP1P1"
"287356" "ENSG00000217702" "RP11-287D1.4"
"287362" "ENSG00000163170" "BOLA3"
"287399" "ENSG00000225439" "BOLA3-AS1"
"287410" "ENSG00000114978" "MOB1A"
"287452" "ENSG00000279201" "RP11-287D1.5"
"287457" "ENSG00000279070" "RP11-287D1.2"
"287460" "ENSG00000065911" "MTHFD2"
"287564" "ENSG00000264324" "RP11-287D1.3"
"287646" "ENSG00000188687" "SLC4A5"
"288150" "ENSG00000229798" "KRT18P26"
"288153" "ENSG00000252214" "RNU6-542P"
"288156" "ENSG00000234632" "NECAP1P2"
"288160" "ENSG00000225658" "TAF13P2"
"288163" "ENSG00000204843" "DCTN1"
"288881" "ENSG00000237737" "DCTN1-AS1"
"288906" "ENSG00000159239" "C2orf81"
"288947" "ENSG00000234521" "AC005041.11"
"288955" "ENSG00000233155" "HMGA1P8"
"288958" "ENSG00000005448" "WDR54"
"289087" "ENSG00000114993" "RTKN"
"289205" "ENSG00000115274" "INO80B"
"289295" "ENSG00000274049" "INO80B-WBP1"
"289338" "ENSG00000239779" "WBP1"
"289443" "ENSG00000115275" "MOGS"
"289522" "ENSG00000204822" "MRPL53"
"289549" "ENSG00000135637" "CCDC142"
"289648" "ENSG00000115282" "TTC31"
"289847" "ENSG00000179528" "LBX2"
"289884" "ENSG00000272183" "RP11-523H20.3"
"289887" "ENSG00000257702" "LBX2-AS1"
"289893" "ENSG00000115289" "PCGF1"
"289952" "ENSG00000115297" "TLX2"
"289985" "ENSG00000144045" "DQX1"
"290095" "ENSG00000115307" "AUP1"
"290194" "ENSG00000115317" "HTRA2"
"290296" "ENSG00000115318" "LOXL3"
"290479" "ENSG00000115325" "DOK1"
"290573" "ENSG00000159374" "M1AP"
"290700" "ENSG00000233872" "AC005033.6"
"290704" "ENSG00000108442" "TVP23BP2"
"290707" "ENSG00000135622" "SEMA4F"
"290911" "ENSG00000224646" "AC007387.2"
"290914" "ENSG00000272711" "RP11-259N19.1"
"290917" "ENSG00000159399" "HK2"
"291003" "ENSG00000204792" "LINC01291"
"291016" "ENSG00000236209" "AC104135.2"
"291020" "ENSG00000230836" "LINC01293"
"291024" "ENSG00000115350" "POLE4"
"291061" "ENSG00000115353" "TACR1"
"291093" "ENSG00000263909" "MIR5000"
"291096" "ENSG00000270571" "RP11-355F16.1"
"291101" "ENSG00000236167" "GAPDHP57"
"291104" "ENSG00000115363" "EVA1A"
"291204" "ENSG00000237293" "AC007099.2"
"291208" "ENSG00000238410" "snoU109"
"291211" "ENSG00000231172" "AC007099.1"
"291216" "ENSG00000230477" "AC005034.2"
"291219" "ENSG00000221638" "U3"
"291222" "ENSG00000115364" "MRPL19"
"291308" "ENSG00000226247" "SUPT4H1P1"
"291311" "ENSG00000005436" "GCFC2"
"291535" "ENSG00000270696" "RP11-342K6.1"
"291538" "ENSG00000271452" "RP11-342K6.2"
"291541" "ENSG00000270462" "RP11-342K6.3"
"291544" "ENSG00000270996" "RP11-342K6.4"
"291547" "ENSG00000233107" "SUCLA2P2"
"291550" "ENSG00000228209" "AC073091.2"
"291553" "ENSG00000271356" "RP11-335E8.1"
"291556" "ENSG00000200488" "RN7SKP203"
"291559" "ENSG00000251947" "RN7SKP164"
"291562" "ENSG00000176204" "LRRTM4"
"291630" "ENSG00000200028" "RNA5SP98"
"291633" "ENSG00000234653" "AC079117.1"
"291639" "ENSG00000227088" "AC084149.2"
"291643" "ENSG00000230968" "AC084149.1"
"291647" "ENSG00000237077" "AC105399.2"
"291653" "ENSG00000233605" "AC073628.1"
"291658" "ENSG00000229494" "AC012494.1"
"291666" "ENSG00000214429" "CYCSP6"
"291669" "ENSG00000270470" "RP11-601H16.1"
"291672" "ENSG00000234877" "AC092660.1"
"291676" "ENSG00000202423" "RNU6-827P"
"291679" "ENSG00000200048" "RNU6-812P"
"291682" "ENSG00000143954" "REG3G"
"291739" "ENSG00000172023" "REG1B"
"291780" "ENSG00000115386" "REG1A"
"291810" "ENSG00000204787" "REG1CP"
"291842" "ENSG00000172016" "REG3A"
"291898" "ENSG00000224879" "AC011754.1"
"291903" "ENSG00000066032" "CTNNA2"
"292276" "ENSG00000229385" "AC010975.1"
"292283" "ENSG00000277171" "RP11-191H23.1"
"292286" "ENSG00000230237" "AC010975.2"
"292290" "ENSG00000252031" "RNU6-561P"
"292293" "ENSG00000266436" "MIR4264"
"292296" "ENSG00000276917" "MIR8080"
"292299" "ENSG00000224731" "AC016716.2"
"292304" "ENSG00000223427" "AC016716.1"
"292307" "ENSG00000162951" "LRRTM1"
"292373" "ENSG00000237031" "AC008067.2"
"292416" "ENSG00000230975" "AC084193.1"
"292423" "ENSG00000234429" "AC105342.1"
"292426" "ENSG00000231722" "AC012075.1"
"292429" "ENSG00000235519" "AC012075.2"
"292433" "ENSG00000200890" "RNA5SP99"
"292436" "ENSG00000233444" "AC013262.1"
"292439" "ENSG00000242118" "RN7SL201P"
"292442" "ENSG00000231781" "AC079896.1"
"292449" "ENSG00000229560" "LYARP1"
"292452" "ENSG00000252897" "RNU6-685P"
"292455" "ENSG00000201311" "Y_RNA"
"292458" "ENSG00000237498" "AC010105.1"
"292463" "ENSG00000226860" "AC109638.1"
"292466" "ENSG00000226700" "MTND4P25"
"292469" "ENSG00000225045" "MTND5P27"
"292472" "ENSG00000224695" "MTND6P7"
"292475" "ENSG00000227789" "MTCYBP7"
"292478" "ENSG00000168129" "DHFRP3"
"292481" "ENSG00000223977" "AC138623.1"
"292484" "ENSG00000232548" "AC010744.1"
"292488" "ENSG00000224627" "RPL37P10"
"292491" "ENSG00000199295" "RNU6-1312P"
"292494" "ENSG00000228225" "AC016908.1"
"292497" "ENSG00000228902" "ST6GALNAC2P1"
"292500" "ENSG00000182814" "FUNDC2P2"
"292506" "ENSG00000228272" "AC106874.1"
"292511" "ENSG00000163541" "SUCLG1"
"292582" "ENSG00000115423" "DNAH6"
"292953" "ENSG00000259056" "DUXAP1"
"292956" "ENSG00000235847" "LDHAP7"
"292959" "ENSG00000186854" "TRABD2A"
"293040" "ENSG00000276362" "RP11-241M13.2"
"293043" "ENSG00000213400" "RPL12P18"
"293046" "ENSG00000279992" "AC022210.1"
"293053" "ENSG00000034510" "TMSB10"
"293065" "ENSG00000213399" "AC022210.2"
"293068" "ENSG00000176407" "KCMF1"
"293119" "ENSG00000260840" "RP11-60H5.1"
"293123" "ENSG00000235463" "AC078974.2"
"293126" "ENSG00000225787" "LSM3P3"
"293129" "ENSG00000152284" "TCF7L1"
"293180" "ENSG00000231134" "TCF7L1-IT1"
"293184" "ENSG00000200701" "RNU6-674P"
"293187" "ENSG00000230299" "AC093162.3"
"293190" "ENSG00000246575" "AC093162.5"
"293197" "ENSG00000152291" "TGOLN2"
"293278" "ENSG00000239143" "Y_RNA"
"293281" "ENSG00000270532" "PEBP1P2"
"293284" "ENSG00000042445" "RETSAT"
"293380" "ENSG00000115459" "ELMOD3"
"293807" "ENSG00000271014" "RP11-717A5.1"
"293810" "ENSG00000202382" "Y_RNA"
"293813" "ENSG00000278590" "RN7SL113P"
"293816" "ENSG00000273196" "RP11-717A5.2"
"293819" "ENSG00000042493" "CAPG"
"294031" "ENSG00000152292" "SH2D6"
"294150" "ENSG00000207207" "Y_RNA"
"294153" "ENSG00000244399" "RN7SL251P"
"294156" "ENSG00000199936" "Y_RNA"
"294159" "ENSG00000229648" "RPSAP22"
"294162" "ENSG00000168906" "MAT2A"
"294225" "ENSG00000115486" "GGCX"
"294356" "ENSG00000118640" "VAMP8"
"294392" "ENSG00000276281" "RN7SL126P"
"294395" "ENSG00000281331" "AC016753.1"
"294401" "ENSG00000168899" "VAMP5"
"294416" "ENSG00000168894" "RNF181"
"294483" "ENSG00000168890" "TMEM150A"
"294630" "ENSG00000168883" "USP39"
"294930" "ENSG00000168887" "C2orf68"
"294976" "ENSG00000168878" "SFTPB"
"295104" "ENSG00000115523" "GNLY"
"295211" "ENSG00000203363" "AC012454.4"
"295214" "ENSG00000199687" "RNU1-38P"
"295217" "ENSG00000168874" "ATOH8"
"295245" "ENSG00000278783" "MIR6071"
"295248" "ENSG00000229498" "AC105053.3"
"295253" "ENSG00000252321" "RN7SKP83"
"295256" "ENSG00000115525" "ST3GAL5"
"295386" "ENSG00000232504" "ST3GAL5-AS1"
"295390" "ENSG00000272564" "RP11-548P2.2"
"295393" "ENSG00000068654" "POLR1A"
"295601" "ENSG00000132300" "PTCD3"
"295815" "ENSG00000208772" "SNORD94"
"295818" "ENSG00000132305" "IMMT"
"296086" "ENSG00000200241" "Y_RNA"
"296089" "ENSG00000265420" "MIR4779"
"296092" "ENSG00000273080" "RP11-301O19.1"
"296095" "ENSG00000132313" "MRPL35"
"296150" "ENSG00000068615" "REEP1"
"296270" "ENSG00000202537" "U8"
"296273" "ENSG00000251974" "SNORA19"
"296276" "ENSG00000115548" "KDM3A"
"296621" "ENSG00000115561" "CHMP3"
"296701" "ENSG00000249884" "RNF103-CHMP3"
"296736" "ENSG00000200563" "RNU6-640P"
"296739" "ENSG00000228363" "AC015971.2"
"296758" "ENSG00000239305" "RNF103"
"296796" "ENSG00000153561" "RMND5A"
"296834" "ENSG00000153563" "CD8A"
"296903" "ENSG00000172116" "CD8B"
"297001" "ENSG00000233673" "ANAPC1P1"
"297036" "ENSG00000213605" "AC111200.2"
"297039" "ENSG00000187627" "RGPD1"
"297216" "ENSG00000231351" "AC111200.7"
"297219" "ENSG00000226114" "NDUFB4P5"
"297222" "ENSG00000183281" "PLGLB1"
"297293" "ENSG00000231259" "AC125232.1"
"297303" "ENSG00000266931" "RP11-1252D15.1"
"297306" "ENSG00000230395" "AC092651.1"
"297311" "ENSG00000204745" "AC083899.3"
"297344" "ENSG00000264793" "MIR4771-1"
"297347" "ENSG00000233671" "AC083899.1"
"297350" "ENSG00000281477" "RP11-223J6.2"
"297354" "ENSG00000271097" "RP11-223J6.1"
"297357" "ENSG00000233999" "IGKV3OR2-268"
"297364" "ENSG00000224881" "AC068279.3"
"297367" "ENSG00000280721" "AC133644.2"
"297377" "ENSG00000222041" "CYTOR"
"297431" "ENSG00000273445" "RP11-1399P15.1"
"297434" "ENSG00000214354" "AC133644.3"
"297437" "ENSG00000265507" "MIR4435-1"
"297440" "ENSG00000225933" "AC133965.1"
"297443" "ENSG00000234231" "AC093616.4"
"297460" "ENSG00000125551" "PLGLB2"
"297493" "ENSG00000185304" "RGPD2"
"297548" "ENSG00000229604" "MTATP8P2"
"297551" "ENSG00000225428" "NDUFB4P7"
"297554" "ENSG00000233205" "AC108479.2"
"297557" "ENSG00000275597" "RP11-1378G18.1"
"297564" "ENSG00000222724" "RNU2-63P"
"297567" "ENSG00000172086" "KRCC1"
"297581" "ENSG00000115593" "SMYD1"
"297646" "ENSG00000265003" "MIR4780"
"297649" "ENSG00000163586" "FABP1"
"297682" "ENSG00000144115" "THNSL2"
"297796" "ENSG00000232508" "MRPL45P1"
"297799" "ENSG00000283262" "U6"
"297802" "ENSG00000212133" "RNU6-1168P"
"297805" "ENSG00000252395" "RNU6-1007P"
"297808" "ENSG00000224291" "AC012671.2"
"297812" "ENSG00000214336" "FOXI3"
"297822" "ENSG00000172073" "TEX37"
"297836" "ENSG00000225420" "AC104134.2"
"297841" "ENSG00000172071" "EIF2AK3"
"297967" "ENSG00000234028" "AC062029.1"
"297973" "ENSG00000153574" "RPIA"
"297997" "ENSG00000230006" "ANKRD36BP2"
"298064" "ENSG00000283270" "AC096579.13"
"298073" "ENSG00000240040" "AC096579.15"
"298078" "ENSG00000265510" "MIR4436A"
"298081" "ENSG00000211592" "IGKC"
"298087" "ENSG00000211593" "IGKJ5"
"298091" "ENSG00000211594" "IGKJ4"
"298095" "ENSG00000211595" "IGKJ3"
"298099" "ENSG00000211596" "IGKJ2"
"298103" "ENSG00000211597" "IGKJ1"
"298107" "ENSG00000211598" "IGKV4-1"
"298115" "ENSG00000211599" "IGKV5-2"
"298123" "ENSG00000197794" "IGKV7-3"
"298126" "ENSG00000225136" "PGBD4P5"
"298129" "ENSG00000253435" "IGKV2-4"
"298133" "ENSG00000243466" "IGKV1-5"
"298141" "ENSG00000239855" "IGKV1-6"
"298149" "ENSG00000243063" "IGKV3-7"
"298157" "ENSG00000240671" "IGKV1-8"
"298165" "ENSG00000241755" "IGKV1-9"
"298173" "ENSG00000253278" "IGKV2-10"
"298177" "ENSG00000241351" "IGKV3-11"
"298185" "ENSG00000243290" "IGKV1-12"
"298193" "ENSG00000253497" "IGKV1-13"
"298197" "ENSG00000253265" "IGKV2-14"
"298201" "ENSG00000244437" "IGKV3-15"
"298209" "ENSG00000240864" "IGKV1-16"
"298217" "ENSG00000240382" "IGKV1-17"
"298225" "ENSG00000254157" "IGKV2-18"
"298229" "ENSG00000253732" "IGKV2-19"
"298232" "ENSG00000239951" "IGKV3-20"
"298240" "ENSG00000211611" "IGKV6-21"
"298248" "ENSG00000253578" "IGKV1-22"
"298252" "ENSG00000253625" "IGKV2-23"
"298256" "ENSG00000241294" "IGKV2-24"
"298264" "ENSG00000253202" "IGKV3-25"
"298267" "ENSG00000254098" "IGKV2-26"
"298271" "ENSG00000277852" "RP11-421K23.1"
"298274" "ENSG00000244575" "IGKV1-27"
"298282" "ENSG00000244116" "IGKV2-28"
"298290" "ENSG00000253998" "IGKV2-29"
"298294" "ENSG00000243238" "IGKV2-30"
"298302" "ENSG00000253158" "IGKV3-31"
"298306" "ENSG00000253870" "IGKV1-32"
"298310" "ENSG00000242076" "IGKV1-33"
"298323" "ENSG00000253860" "IGKV3-34"
"298327" "ENSG00000253461" "IGKV1-35"
"298330" "ENSG00000253487" "IGKV2-36"
"298333" "ENSG00000239862" "IGKV1-37"
"298341" "ENSG00000253592" "IGKV2-38"
"298344" "ENSG00000242371" "IGKV1-39"
"298352" "ENSG00000273962" "IGKV2-40"
"298359" "ENSG00000283427" "RP4-614C10.1"
"298364" "ENSG00000283196" "RP4-614C10.2"
"298383" "ENSG00000276861" "5S_rRNA"
"298386" "ENSG00000283132" "RP4-614C10.3"
"298397" "ENSG00000283214" "RP4-614C10.5"
"298400" "ENSG00000283659" "RP4-614C10.4"
"298406" "ENSG00000251039" "IGKV2D-40"
"298416" "ENSG00000251546" "IGKV1D-39"
"298424" "ENSG00000254009" "IGKV2D-38"
"298427" "ENSG00000250036" "IGKV1D-37"
"298434" "ENSG00000253127" "IGKV2D-36"
"298437" "ENSG00000232747" "IGKV1D-35"
"298440" "ENSG00000253501" "IGKV3D-34"
"298444" "ENSG00000239975" "IGKV1D-33"
"298457" "ENSG00000253191" "IGKV1D-32"
"298461" "ENSG00000253999" "IGKV3D-31"
"298465" "ENSG00000239571" "IGKV2D-30"
"298473" "ENSG00000243264" "IGKV2D-29"
"298485" "ENSG00000242534" "IGKV2D-28"
"298496" "ENSG00000224607" "IGKV1D-27"
"298500" "ENSG00000211623" "IGKV2D-26"
"298508" "ENSG00000254097" "IGKV3D-25"
"298511" "ENSG00000241566" "IGKV2D-24"
"298519" "ENSG00000254345" "IGKV2D-23"
"298523" "ENSG00000253365" "IGKV1D-22"
"298527" "ENSG00000225523" "IGKV6D-21"
"298535" "ENSG00000211625" "IGKV3D-20"
"298543" "ENSG00000253765" "IGKV2D-19"
"298546" "ENSG00000254220" "IGKV2D-18"
"298550" "ENSG00000211626" "IGKV6D-41"
"298558" "ENSG00000242766" "IGKV1D-17"
"298566" "ENSG00000241244" "IGKV1D-16"
"298574" "ENSG00000224041" "IGKV3D-15"
"298582" "ENSG00000254292" "IGKV2D-14"
"298586" "ENSG00000276566" "IGKV1D-13"
"298594" "ENSG00000278857" "IGKV1D-12"
"298602" "ENSG00000211632" "IGKV3D-11"
"298610" "ENSG00000253906" "IGKV2D-10"
"298614" "ENSG00000211633" "IGKV1D-42"
"298622" "ENSG00000242580" "IGKV1D-43"
"298630" "ENSG00000239819" "IGKV1D-8"
"298638" "ENSG00000228325" "IGKV3D-7"
"298646" "ENSG00000275490" "CH17-132F21.4"
"298649" "ENSG00000270999" "IGKV1OR2-118"
"298653" "ENSG00000265897" "AC018696.1"
"298656" "ENSG00000281904" "CH17-132F21.5"
"298659" "ENSG00000230964" "AC018696.4"
"298662" "ENSG00000261600" "RP11-575H3.1"
"298665" "ENSG00000278131" "AC116050.1"
"298672" "ENSG00000143429" "AC027612.6"
"298698" "ENSG00000222835" "RNA5SP100"
"298701" "ENSG00000184303" "DRD5P1"
"298704" "ENSG00000230572" "AC027612.3"
"298725" "ENSG00000271627" "RP11-165D20.1"
"298728" "ENSG00000223703" "AC027612.4"
"298736" "ENSG00000232531" "AC027612.1"
"298739" "ENSG00000236969" "GGT8P"
"298744" "ENSG00000235235" "IGKV1OR2-1"
"298748" "ENSG00000214330" "ABCD1P5"
"298753" "ENSG00000237085" "AC127391.3"
"298756" "ENSG00000227497" "PABPC1P6"
"298760" "ENSG00000214329" "SLC9B1P2"
"298774" "ENSG00000226481" "ACTR3BP2"
"298777" "ENSG00000234898" "CHEK2P3"
"298782" "ENSG00000235147" "AC128677.3"
"298785" "ENSG00000223816" "IGKV1OR2-2"
"298789" "ENSG00000261522" "RP11-407P15.1"
"298798" "ENSG00000259916" "RP11-407P15.2"
"298816" "ENSG00000237383" "CNN2P11"
"298819" "ENSG00000227265" "AC073464.4"
"298822" "ENSG00000213355" "CNN2P8"
"298825" "ENSG00000234837" "AC073464.6"
"298828" "ENSG00000223564" "CYP4F32P"
"298833" "ENSG00000232502" "AC073464.7"
"298836" "ENSG00000235571" "SNX18P14"
"298839" "ENSG00000204717" "AC073464.11"
"298844" "ENSG00000229089" "ANKRD20A8P"
"298880" "ENSG00000212140" "RNU6-1320P"
"298883" "ENSG00000278631" "RP11-71B7.1"
"298886" "ENSG00000259848" "AC097374.2"
"298910" "ENSG00000163060" "TEKT4"
"298935" "ENSG00000237055" "MTCO1P48"
"298938" "ENSG00000232128" "MTCO3P45"
"298941" "ENSG00000233158" "RPS24P6"
"298944" "ENSG00000231331" "AC103563.2"
"298948" "ENSG00000232594" "AC103563.3"
"298952" "ENSG00000233105" "AC103563.4"
"298955" "ENSG00000224585" "AC103563.5"
"298959" "ENSG00000233447" "AC103563.6"
"298962" "ENSG00000235186" "AC103563.7"
"298966" "ENSG00000277591" "RN7SL575P"
"298969" "ENSG00000233850" "AC103563.8"
"298974" "ENSG00000172005" "MAL"
"299019" "ENSG00000231062" "AC103563.9"
"299023" "ENSG00000144029" "MRPS5"
"299111" "ENSG00000144026" "ZNF514"
"299155" "ENSG00000275111" "ZNF2"
"299223" "ENSG00000275768" "SLC2AXP1"
"299226" "ENSG00000233757" "AC092835.2"
"299258" "ENSG00000155066" "PROM2"
"299522" "ENSG00000115041" "KCNIP3"
"299607" "ENSG00000235129" "FABP7P2"
"299610" "ENSG00000115042" "FAHD2A"
"299682" "ENSG00000248821" "AC009238.6"
"299687" "ENSG00000233275" "AC009238.8"
"299690" "ENSG00000227120" "AC009238.7"
"299693" "ENSG00000204705" "UBTFL5"
"299696" "ENSG00000277747" "RP11-404J24.1"
"299699" "ENSG00000234903" "AC133104.2"
"299703" "ENSG00000144010" "TRIM43B"
"299711" "ENSG00000238162" "AC009237.4"
"299714" "ENSG00000223917" "AC009237.2"
"299719" "ENSG00000237308" "AC009237.5"
"299722" "ENSG00000224719" "AC009237.6"
"299726" "ENSG00000226185" "TRIM64FP"
"299735" "ENSG00000272913" "RP11-440D17.3"
"299738" "ENSG00000229689" "AC009237.8"
