"probeID" "Entrez"
"273" "273" "CPSF6"
"274" "274" ""
"275" "275" "POLE2"
"276" "276" "ACVRL1"
"277" "277" ""
"278" "278" "LRRC4"
"279" "279" "CCND1"
"280" "280" "SAR1B"
"281" "281" "MAGEF1"
"282" "282" "CCDC94"
"283" "283" "IMP3"
"284" "284" "UBE2DNL"
"285" "285" ""
"286" "286" "THEM4"
"287" "287" ""
"288" "288" "ARFIP1"
"289" "289" "BRCA2"
"290" "290" "CCDC92"
"291" "291" ""
"292" "292" "RTN4RL1"
"293" "293" "RAB5C"
"294" "294" "MEIG1"
"295" "295" "MKL1"
"296" "296" ""
"297" "297" ""
"298" "298" "CENPN"
"299" "299" ""
"300" "300" ""
"301" "301" "EPS15"
"302" "302" ""
"303" "303" "AHCTF1"
"304" "304" "KRT71"
"305" "305" ""
"306" "306" ""
"307" "307" "PHACTR3"
"308" "308" "TTTY9A"
"309" "309" "NFKB2"
"310" "310" ""
"311" "311" "RGAG4"
"312" "312" "FRMD8P1"
"313" "313" "ACP1"
"314" "314" "PAK2"
"315" "315" "ALDH4A1"
"316" "316" ""
"317" "317" "NOL4"
"318" "318" "FBXO3"
"319" "319" ""
"320" "320" "MUC3A"
"321" "321" "ZNHIT2"
"322" "322" "OR2V2"
"323" "323" "CACNG8"
"324" "324" "CIDEC"
"325" "325" ""
"326" "326" "ZNF667-AS1"
"327" "327" "LOC728743"
"328" "328" ""
"329" "329" "TPTE2P6"
"330" "330" "JUN"
"331" "331" ""
"332" "332" ""
"333" "333" ""
"334" "334" ""
"335" "335" ""
"336" "336" ""
"337" "337" ""
"338" "338" ""
"339" "339" ""
"340" "340" ""
"341" "341" ""
"342" "342" ""
"343" "343" ""
"344" "344" ""
"345" "345" ""
"346" "346" ""
"347" "347" ""
"348" "348" ""
"349" "349" ""
"350" "350" ""
"351" "351" "SMAD7"
"352" "352" "RXRA"
"353" "353" "CCDC23"
"354" "354" ""
"355" "355" "RAB3D"
"356" "356" "C14orf28"
"357" "357" "IGF1"
"358" "358" "ZFYVE19"
"359" "359" "NUDC"
"360" "360" "NR3C1"
"361" "361" "SFT2D1"
"362" "362" "NODAL"
"363" "363" "HLA-DRB5"
"364" "364" "NDUFB9"
"365" "365" "MKRN1"
"366" "366" ""
"367" "367" "GPX8"
"368" "368" ""
"369" "369" "ITGA2B"
"370" "370" "TNNT2"
"371" "371" "DGKB"
"372" "372" "CAV1"
"373" "373" "MFN1"
"374" "374" ""
"375" "375" "ATRNL1"
"376" "376" "CLK1"
"377" "377" "C1R"
"378" "378" ""
"379" "379" "BOC"
"380" "380" "MMP2"
"381" "381" ""
"382" "382" "PPWD1"
"383" "383" "BRD8"
"384" "384" "IFNA5"
"385" "385" "CLSTN3"
"386" "386" "LTF"
"387" "387" ""
"388" "388" ""
"389" "389" "MALT1"
"390" "390" ""
"391" "391" "FBXL17"
"392" "392" ""
"393" "393" "ANKRD36BP1"
